"afd_Balten_2025_08" "afd_BeatrixVonStorch_2021_07" "afd_BeatrixVonStorch_2022_06" "afd_chrupalla_2024_10" "afd_chrupalla_2025_09" "afd_Gauland_2018_02" "afd_Gauland_Regierungserklärung2018_04" "afd_Malsack-Winkemann_2018_03" "afd_weidel_2018_01" "afd_weidel_2021_05" "dolchstoß_01" "dolchstoß_BrockhausArtikel_1930_03" "dolchstoß_Eiserne Blätter_1918_05" "dolchstoß_RedeNoske_1907_04" "dolchstoß_Wahlplakat1924_02"
"die" 2.27920227920228 4.04040404040404 2.98913043478261 3.92749244712991 3.37423312883436 3.89249304911956 3.75275938189845 3.40136054421769 4.5045045045045 5.10752688172043 3.45368916797488 5.77617328519856 3.03030303030303 4.95049504950495 3.44827586206897
"und" 3.98860398860399 3.7037037037037 4.34782608695652 4.90936555891239 4.08997955010225 2.22428174235403 2.75938189845475 2.31292517006803 4.58640458640459 4.83870967741935 3.2967032967033 2.88808664259928 1.51515151515152 1.98019801980198 2.29885057471264
"der" 3.7037037037037 3.36700336700337 1.90217391304348 2.34138972809668 2.76073619631902 2.22428174235403 2.75938189845475 1.9047619047619 2.29320229320229 2.82258064516129 3.61067503924647 4.69314079422383 3.03030303030303 1.98019801980198 4.59770114942529
"sie" 3.13390313390313 0.505050505050505 5.16304347826087 2.56797583081571 3.47648261758691 1.85356811862836 2.42825607064018 0.952380952380952 3.19410319410319 1.74731182795699 0.54945054945055 1.08303249097473 0 0 0
"das" 1.13960113960114 1.01010101010101 2.98913043478261 1.05740181268882 2.04498977505112 0.741427247451344 1.65562913907285 1.7687074829932 1.63800163800164 1.47849462365591 0.941915227629513 0.72202166064982 2.27272727272727 0.99009900990099 2.29885057471264
"in" 0.854700854700855 1.68350168350168 0.543478260869565 2.0392749244713 0.920245398773006 1.39017608897127 2.53863134657837 0.408163265306122 1.06470106470106 1.20967741935484 1.0989010989011 2.52707581227437 0 0 2.29885057471264
"den" 0 1.85185185185185 1.35869565217391 1.20845921450151 0.81799591002045 0.834105653382762 0.662251655629139 0.816326530612245 0.819000819000819 1.34408602150538 1.96232339089482 2.52707581227437 0.757575757575758 2.97029702970297 4.59770114942529
"nicht" 0.284900284900285 1.34680134680135 1.35869565217391 0.830815709969788 0.920245398773006 1.48285449490269 1.76600441501104 0.816326530612245 0.819000819000819 0.806451612903226 1.49136577708006 1.08303249097473 1.51515151515152 0 1.14942528735632
"mit" 0.854700854700855 0.168350168350168 0.271739130434783 1.05740181268882 0.920245398773006 1.29749768303985 1.21412803532009 1.36054421768707 1.39230139230139 0.806451612903226 0.54945054945055 0 0.757575757575758 0 1.14942528735632
"zu" 1.70940170940171 0.336700336700337 0.815217391304348 0.604229607250755 0.920245398773006 0.92678405931418 0.772626931567329 1.63265306122449 0.982800982800983 0.806451612903226 1.0989010989011 0.72202166064982 0 2.97029702970297 1.14942528735632
